DEPTH,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,DCAL,DPOR,GR,LSPD,LTEN,RHOB,RHOC,RILD,RILM,RLL3,RXORT,SP,DT,ITT,MCAL,MI,MN,SPOR
295.0,0.0,0.0,2.9851,41.0609,43.5878,43.5878,43.4058,2.4652,37.7536,63.7645,,673.1595,2.0644,0.0001,334.9926,100000.0,1.1168,222.9643,18.5066,208.835,0.0,3.9181,1.2855,0.4294,114.0276
295.5,0.0,0.0,0.0,40.6871,43.3443,43.3443,43.2358,2.4661,37.057,60.7369,,672.7717,2.0763,0.0001,100000.0,100000.0,1.1174,445.6642,17.3447,230.5808,0.0,3.9183,1.2765,0.4194,129.4065
296.0,0.0,0.0,0.0,43.3649,45.1107,45.1107,44.4905,2.4683,36.1954,57.7684,,675.0924,2.0911,0.0001,100000.0,100000.0,1.1179,445.619,16.1296,257.3757,0.0,3.9189,1.2658,0.4087,148.3562
296.5,0.0,0.0,0.0,46.6181,47.3299,47.3299,46.136,2.4701,35.5653,56.3093,,676.7391,2.1018,0.0001,100000.0,100000.0,1.1196,445.5707,14.7311,282.8377,0.0,3.9199,1.2541,0.398,166.3633
297.0,0.0,0.0,2.9769,49.2579,49.1937,49.1937,47.5753,2.4713,35.3588,55.9928,,679.5984,2.1054,0.0001,335.9151,100000.0,1.1219,222.8898,13.101,298.5848,1.0,3.9249,1.2416,0.3859,177.4999
297.5,0.0,0.0,24.8196,51.491,50.8172,50.8172,48.8702,2.4737,35.4812,58.266,,676.1632,2.1033,0.0001,40.2907,100000.0,1.1235,140.0027,11.2932,299.4142,0.0,3.9253,1.2282,0.3716,178.0864
298.0,0.0,0.0,37.0126,52.7798,51.7745,51.7745,49.6513,2.476,35.9314,61.9769,,675.0515,2.0956,0.0001,27.0178,100000.0,1.1252,124.5043,9.427,286.3946,0.0,3.9178,1.2156,0.3578,168.8788
298.5,0.0,0.0,38.1684,52.2123,51.3511,51.3511,49.3043,2.4786,37.0024,64.4397,,675.8967,2.0773,0.0001,26.1997,100000.0,1.1239,123.5213,7.6203,265.6941,0.0,3.9143,1.2036,0.3467,154.2391
299.0,0.0,0.0,39.8756,50.1853,49.8626,49.8626,48.1043,2.4842,38.9889,65.9962,,672.4954,2.0433,0.0001,25.078,100000.0,1.1041,121.4546,5.934,244.6296,0.0,3.9143,1.1909,0.3374,139.342
299.5,0.0,0.0,67.764,47.6722,48.0672,48.0672,46.6992,2.4904,41.8504,67.0624,,670.0359,1.9944,0.0001,14.7571,100000.0,1.0518,97.3196,4.3613,228.4562,0.0,3.9164,1.1887,0.3451,127.904
300.0,0.0,0.0,133.9598,45.4194,46.5025,46.5025,45.5136,2.494,45.3597,67.1415,,671.1515,1.9343,0.0001,7.4649,100000.0,0.9976,60.5313,2.8633,219.019,0.0,3.919,1.2857,0.5039,121.2299
300.5,0.0,0.0,201.4875,44.6523,45.979,45.979,45.1253,2.4962,49.5386,67.8162,,671.9076,1.8629,0.0001,4.9631,100000.0,1.2213,28.0332,1.4237,214.8592,0.0,3.9193,1.5946,1.1441,118.288
